ECOSYSTEM	ECOSYSTEM_CATEGORY	ECOSYSTEM_TYPE	ECOSYSTEM_SUBTYPE	SPECIFIC_ECOSYSTEM	BROAD_SCALE_LABEL	LOCAL_SCALE_LABEL	MEDIUM_LABEL	ENV_BROAD_SCALE	ENV_LOCAL_SCALE	ENV_MEDIUM	COUNT	gold_path_cat	mixs_cat	count_prop	sum_gp	proportion_gp	sum_mixs	proportion_mixs	interest
Environmental	Terrestrial	Soil	Unclassified	Grasslands	grassland biome	biosphere reserve	grassland soil	ENVO_01000177	ENVO_00000376	ENVO_00005750	151.0	Environmental_Terrestrial_Soil_Unclassified_Grasslands	grassland biome_biosphere reserve_grassland soil	0.054829339143064634	532.0	0.28383458646616544	225.0	0.6711111111111111	0.010444141702598303
Environmental	Aquatic	Marine	Coastal	Sediment	marine benthic biome	marine benthic feature	marine sediment	ENVO_01000024	ENVO_01000105	ENVO_03000033	117.0	Environmental_Aquatic_Marine_Coastal_Sediment	marine benthic biome_marine benthic feature_marine sediment	0.042483660130718956	172.0	0.6802325581395349	330.0	0.35454545454545455	0.010245927123492104
Environmental	Aquatic	Marine	Bathypelagic	Unclassified	oceanic bathypelagic zone biome	marine bathypelagic zone	sea water	ENVO_01000037	ENVO_00000211	ENVO_00002149	29.0	Environmental_Aquatic_Marine_Bathypelagic_Unclassified	oceanic bathypelagic zone biome_marine bathypelagic zone_sea water	0.010530137981118372	29.0	1.0	30.0	0.9666666666666667	0.01017913338174776
Environmental	Aquatic	Thermal springs	Unclassified	Unclassified	aquatic biome	hot spring		ENVO_00002030	ENVO_00000051		90.0	Environmental_Aquatic_Thermal springs_Unclassified_Unclassified	aquatic biome_hot spring_	0.032679738562091505	105.0	0.8571428571428571	259.0	0.3474903474903475	0.009733623179001331
Environmental	Aquatic	Marine	Hydrothermal vents	Sediment	marine hydrothermal vent biome	marine hydrothermal vent	sediment	ENVO_01000030	ENVO_01000122	ENVO_00002007	48.0	Environmental_Aquatic_Marine_Hydrothermal vents_Sediment	marine hydrothermal vent biome_marine hydrothermal vent_sediment	0.017429193899782137	80.0	0.6	53.0	0.9056603773584906	0.009470958194598596
Environmental	Aquatic	Freshwater	Lake	Anoxic zone	freshwater lake biome	freshwater lake	anoxic water	ENVO_01000252	ENVO_00000021	ENVO_01000173	27.0	Environmental_Aquatic_Freshwater_Lake_Anoxic zone	freshwater lake biome_freshwater lake_anoxic water	0.00980392156862745	27.0	1.0	28.0	0.9642857142857143	0.009453781512605041
Environmental	Aquatic	Freshwater	Tap water	Unclassified	freshwater biome		tap water	ENVO_00000873		ENVO_00003096	26.0	Environmental_Aquatic_Freshwater_Tap water_Unclassified	freshwater biome__tap water	0.00944081336238199	26.0	1.0	26.0	1.0	0.00944081336238199
Environmental	Aquatic	Freshwater	Pond	Unclassified	aquatic biome	microcosm	fresh water	ENVO_00002030	ENVO_01000621	ENVO_00002011	59.0	Environmental_Aquatic_Freshwater_Pond_Unclassified	aquatic biome_microcosm_fresh water	0.021423384168482208	137.0	0.4306569343065693	59.0	1.0	0.00922612894847044
Environmental	Terrestrial	Geologic	Sediment	Unclassified	polar desert biome	desert	sediment	ENVO_01000186	ENVO_01001357	ENVO_00002007	64.0	Environmental_Terrestrial_Geologic_Sediment_Unclassified	polar desert biome_desert_sediment	0.023238925199709513	163.0	0.39263803680981596	64.0	1.0	0.009124485967984104
Environmental	Aquatic	Floodplain	Sediment	Unclassified	freshwater biome	flood plain	sediment	ENVO_00000873	ENVO_00000255	ENVO_00002007	24.0	Environmental_Aquatic_Floodplain_Sediment_Unclassified	freshwater biome_flood plain_sediment	0.008714596949891068	24.0	1.0	24.0	1.0	0.008714596949891068
